X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,prac_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fix_resp_2.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fix_respP2_1.rt,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,2,6,largeScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,2.09366,,,,,,,,,,,,,,,,,1,space,,,,,,0.26792,,,,,,3,1,13,2,1
,,,,,,,,,,,,,,,2,4,largeHincon,Stimuli/HofS2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,2.589965,,,,,,,,,,,,,,,,,1,space,,,,,,0.29962,,,,,,3,2,14,1,1
,,,,,,,,,,,,,,,2,8,largeSincon,Stimuli/SofH2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,1.51123,,,,,,,,,,,,,,,,,0,space,,,,,,0.300405,,,,,,3,3,15,3,1
,,,,,,,,,,,,,,,2,8,largeSincon,Stimuli/SofH2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,0,0.832875,,,,,,,,,,,,,,,,,0,space,,,,,,0.287485,,,,,,4,0,16,3,1
,,,,,,,,,,,,,,,2,2,largeHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,2.707505,,,,,,,,,,,,,,,,,0,space,,,,,,0.667895,,,,,,4,1,17,0,1
,,,,,,,,,,,,,,,2,6,largeScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,1.19871,,,,,,,,,,,,,,,,,0,space,,,,,,0.32388,,,,,,4,2,18,2,1
,,,,,,,,,,,,,,,2,4,largeHincon,Stimuli/HofS2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,1.80354,,,,,,,,,,,,,,,,,0,space,,,,,,0.318935,,,,,,4,3,19,1,1
,,,,,,,,,,,,,,,2,2,largeHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,0,1.790295,,,,,,,,,,,,,,,,,0,space,,,,,,0.32493,,,,,,5,0,20,0,1
,,,,,,,,,,,,,,,2,6,largeScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,0,1.769115,,,,,,,,,,,,,,,,,0,space,,,,,,0.40066,,,,,,5,1,21,2,1
,,,,,,,,,,,,,,,2,4,largeHincon,Stimuli/HofS2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,0,2.017225,,,,,,,,,,,,,,,,,0,space,,,,,,0.319635,,,,,,5,2,22,1,1
