X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp_2.rt,fix_resp1_1.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,f,1,1.00583,,4,0,16,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,j,1,1.1312,,4,1,17,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,f,1,1.23123,,4,2,18,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,j,1,1.097765,,4,3,19,2,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,j,1,0.933065,,5,0,20,2,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,j,1,0.96584,,5,1,21,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,f,1,0.780895,,5,2,22,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,f,1,2.30904,,5,3,23,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,f,1,1.49297,space,6,0,24,0,1,0.382265,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,j,1,1.645775,,6,1,25,3,1,,,,,,,,,,,,,,,,,
